Heiss_Region,Heiss_Category,Siletti_RegionsThatMap,SilettiROIGroupCoarse,Match_Quality,Boundary_Ambiguity_Flag,Notes
Cerebral cortex (global average),Cortex (whole),"Human A1C; Human A13; Human A14; Human A19; Human A23; Human A24; Human A25; Human A29-A30; Human A32; Human A35-A36; Human A35r; Human A38; Human A40; Human A43; Human A44-A45; Human A46; Human A5-A7; Human FI; Human Idg; Human Ig; Human ITG; Human LEC; Human M1C; Human MEC; Human MTG; Human Pir; Human Pro; Human S1C; Human STG; Human TF; Human TH-TL; Human V1C; Human V2; Human AON",Cerebral cortex,Coarse-OK,YELLOW,"Heiss 'cerebral cortex' is whole-cortex average. Siletti includes paleocortex (AON, Pir) which some authors exclude from neocortex. Confirm whether Heiss value is neocortex-only or all cortex."
Frontal lobe,Cortex (lobar),"Human A14; Human A24; Human A25; Human A32; Human A44-A45; Human A46; Human M1C",Cerebral cortex,Coarse-OK,YELLOW,"Frontal lobe boundary: A24/A25/A32 sit on the medial wall (cingulate); some authors group these with cingulate or limbic system rather than frontal. Insular Cortex (FI especially) sits at the frontal-temporal boundary - check Heiss method."
Parietal lobe,Cortex (lobar),"Human A40; Human A43; Human A5-A7",Cerebral cortex,Coarse-OK,GREEN,"Clean lobar match. A43 (gustatory) is sometimes grouped with insula."
Temporal lobe,Cortex (lobar),"Human A1C; Human A38; Human ITG; Human MTG; Human STG; Human TF",Cerebral cortex,Coarse-OK,RED,"WARNING - this is the user-flagged ambiguity. Heiss correctly separates 'Temporal lobe' from 'Hippocampus' and 'Insular lobe' (they are distinct rows). Siletti groups: temporal-cortex Brodmann/gyral regions belong here ONLY. Do NOT include Hippocampus, Insular, or Parahippocampal (LEC, MEC, A35-36, A35r, TH-TL) when matching to Heiss Temporal lobe value. Parahippocampal gyrus is debated as temporal-lobe member."
Occipital lobe,Cortex (lobar),"Human A19; Human Pro; Human V1C; Human V2",Cerebral cortex,Good,GREEN,"Clean match. Pro (area prostriata) is on cuneus/parieto-occipital boundary."
Insular lobe,Cortex (insula),"Human FI; Human Idg; Human Ig",Cerebral cortex,Good,GREEN,"Heiss correctly treats insula as its own lobe (it sits between frontal/parietal/temporal). Siletti splits insula by cytoarchitecture: FI (agranular), Idg (dysgranular), Ig (granular). Direct many-to-one match. DO NOT also count Insula values under Frontal/Temporal/Parietal lobe."
Hippocampus,Allocortex (limbic),"Human CA1R-CA2R; Human CA1R-CA2R-CA3R; Human CA3R; Human DGR-CA4Rpy; Human Sub; Human CA1U; Human CA1-3; Human CA1U-CA2U-CA3U; Human CA2U-CA3U; Human DGU-CA4Upy; Human CA1C-CA3C; Human CA4C-DGC; Human Sub (tail)",Hippocampus,Good,GREEN,"Heiss correctly separates Hippocampus from Temporal lobe. Hippocampus is allocortex (3-layer), NOT neocortex - it should never be inside the Temporal-lobe rate. Siletti has 13 subfield rows (head/body/tail x CA1/CA2/CA3/CA4/DG/Sub) all aggregating to whole hippocampus. Note: entorhinal cortex (LEC, MEC) is technically parahippocampal allocortex - belongs with hippocampus formation, not temporal neocortex. Heiss does not separately list entorhinal."
Forebrain nuclei,Subcortical aggregate,"Human CaB; Human Pu; Human GPe; Human GPi; Human Gpe; Human NAC",Cerebral nuclei,Coarse-OK,YELLOW,"Heiss 'forebrain nuclei' is a Heiss-specific aggregate label that conventionally covers basal ganglia structures listed individually below. Verify by re-reading Heiss et al 2004 - it may also include thalamus or basal forebrain. Risk of double-counting if you also use individual nuclei rates."
Caudatum,Subcortical (basal nuclei),Human CaB,Cerebral nuclei,Good,GREEN,"Direct match. Heiss reports whole caudate (no head/body/tail split); Siletti CaB is body of caudate only (head/tail are not in Siletti)."
Putamen,Subcortical (basal nuclei),Human Pu,Cerebral nuclei,Good,GREEN,"Direct 1-to-1 match."
